city,latitude,longitude,occurrences
Leuven,50.879202,4.7011675,1
Jupiter,26.9266939,-80.1220891180725,1
Vienna,38.9013013,-77.2651585,1
Durham,54.7764152,-1.5758539,1
Ann arbor,42.2681569,-83.7312291,2
Buffalo,42.8867166,-78.8783922,1
Pleasanton,37.6624312,-121.8746789,1
University park,40.8005307,-77.8624447,1
Bielefeld,52.010877,8.540868,1
Radnor,36.1053362,-86.7422205,1
Phoenix,33.4485866,-112.0773456,2
Tallinn,59.4372155,24.7453688,1
Folsom,38.6779591,-121.1760583,1
Wellington,-41.2887639,174.7772239,1
Mumbai,19.1334321,72.8882172,1
Prague,35.4867369,-96.6850174,2
Charlotte,35.2270869,-80.8431268,1
Doha,25.3014957,51.4996673988223,1
Burlingame,37.5841026,-122.3660825,1
Pasadena,34.1476452,-118.1444779,1
Westlake,41.4553232,-81.9179174,1
Brno,49.1922443,16.6113382,1
Manhattan,40.7902778,-73.9597222,1
Charlottesville,38.029306,-78.4766781,1
North vancouver,49.321542,-123.074341,1
West hollywood,34.0900091,-118.3617443,1
Bloomington,39.1670396,-86.5342881,1
Royal oak,42.4894801,-83.1446485,1
